"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"SPEL_logo";1;"LOGO";;;
2;"U1";"PC104-Standard";1;"Payload";;;
3;"REF**,REF**,REF**,REF**";"1pin";4;"1pin";;;
4;"U6";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"AD7904BRUZ-REEL7";;;
5;"JP1,JP2,JP3,JP5,JP6,JP7";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";6;"Jumper_2_Open";;;
6;"JP4";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels";1;"Jumper_3_Open";;;
7;"J1";"Pin_Header_Straight_2x20_Pitch2.54mm";1;"RPi_GPIO";;;
8;"R1,R2,R3,R4,R5,R6,R12,R14,R15";"R_0402";9;"R";;;
9;"U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"ISO1540";;;
10;"C1,C2,C3,C5,C6,C26,C27,C28,C29,C30,C4,C23,C24,C25,C31,C32,C33,C34,C35,C36,C37,C38,C39";"C_0402";23;"C";;;
11;"U4,U5";"TSSOP-14_4.4x5mm_Pitch0.65mm";2;"AD8302";;;
12;"J2,J3,J4,J5";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";4;"U.FL-R-SMT(01)";;;
13;"C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22";"C_0402";16;"C_Small";;;
14;"R7,R8,R9,R10,R11,R13";"R_0402";6;"R_Small";;;
15;"TP1,TP2,TP3,TP4";"Test_Point_Keystone_5000-5004_Miniature";4;"TestPoint";;;
16;"U7,U8,U9,U10";"QPQ1906SR";4;"QPQ1906SR";;;
17;"J6";"Molex_PicoBlade_53261-1271_12x1.25mm_Angled";1;"Conn_01x12_Male";;;
18;"JP12,JP13";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"Jumper_2_Open";;;
19;"JP8,JP9,JP10,JP11,JP14,JP15,JP16,JP17";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";8;"Jumper_3_Open";;;
20;"U3,U11";"SOIC-16W_7.5x10.3mm_Pitch1.27mm";2;"ISO7341C";;;
21;"J7,J8";"Molex_PicoBlade_53048-0410_04x1.25mm_Angled";2;"Conn_01x04_Male";;;
22;"JP18";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"Jumper_2_Open";;;
23;"SW1";"SW_SPST_SKQG";1;"SW_Push";;;
24;"J9";"Molex_PicoBlade_53048-0610_06x1.25mm_Angled";1;"Conn_01x06_Male";;;
25;"U12";"SOIC-18W_7.5x11.6mm_Pitch1.27mm";1;"PIC16F1847-I_SO";;;
26;"U13,U14,U16";"SOT-223-5";3;"LP38693MP-3.3";;;
27;"U15";"SOT-223-5";1;"LP38693MP-5.0";;;
